id,product_unit_id,actor_id,actor_organization_id,event_type,location_label,latitude,longitude,timestamp,event_hash,previous_event_hash,tx_hash,chain_status,idempotency_key,metadata,created_at
11,2,18,10,shipped,New York Fulfillment Center,40.7128,-74.006,2025-01-03 13:00:00+00,a1d2caac53c6e8f725fdec1da451d722672690dd421ae4b38b1165b8db395c95,6e5a466b698305da3bcb540357d897a965640aa9fb0c2a22277b3d474ba3a251,0xb15357bcfd88fa5445d67eb1ae22e48eacd53f21dd971c0e70fab6b61be5a22d,confirmed,unit-2-shipped-20250103T130000-4214,{},2025-01-03 13:03:00+00
12,2,7,3,shipped,Mexico City Assembly Plant,19.4326,-99.1332,2025-04-26 23:00:00+00,5bf6ec75cb9e51c68d7966f51033f6f12b1a1fffc1c8036e160a7c466f6b9ef0,0000000000000000000000000000000000000000000000000000000000000000,,pending,unit-2-shipped-20250426T230000-7934,{},2025-04-26 23:02:00+00
13,3,12,5,received,Sao Paulo Depot,-23.5505,-46.6333,2024-01-09 11:00:00+00,56930b5f118bfac3e718b4b601be8a37ca174272ebbe484eb1040f56258db48a,c0e721ce41c32d15cda943e6e7dff6ee2eaff6be7167d62ecef7939e67aede5d,0x7bd0c9a361872d3dc780354a85163cf99c5fdc24c7250d0d067358108bc21b63,confirmed,unit-3-received-20240109T110000-6649,{},2024-01-09 11:00:00+00
14,3,7,2,manufactured,Shenzhen Factory Floor 2,22.5431,114.0579,2024-10-22 00:00:00+00,9e70da8058821cfdae76a80e6c5cb7ec3988bffa8eda52af14200fcb5baea624,0000000000000000000000000000000000000000000000000000000000000000,,simulated,unit-3-manufactured-20241022T000000-5741,"{""batch_no"": ""B4814"", ""line"": ""A""}",2024-10-22 00:00:00+00
15,3,13,5,inspected,Singapore Logistics Hub,1.3521,103.8198,2024-10-24 02:00:00+00,af8a955c4ba14e04e103a9a3bb18879e51b6f9eea297770ef60582fb11c712b8,9e70da8058821cfdae76a80e6c5cb7ec3988bffa8eda52af14200fcb5baea624,0x5078d329c8f4d33c26a504d85426b9a9a49d85f87fbd251a141748d5b2968f74,confirmed,unit-3-inspected-20241024T020000-3664,"{""inspector_notes"": ""passed"", ""score"": 95.1}",2024-10-24 02:05:00+00
16,3,23,2,shipped,New York Fulfillment Center,40.7128,-74.006,2024-10-24 02:00:00+00,c499ce11e5ae117d05129ce818337045c59bbd08207a2752a9cdd90f9f7999ed,af8a955c4ba14e04e103a9a3bb18879e51b6f9eea297770ef60582fb11c712b8,0x66f6e83b1e32d3c2310cf039d3ed459ec213d7a63a41fbee769356604fab5f2a,confirmed,unit-3-shipped-20241024T020000-9751,"{""carrier"": ""FedEx"", ""container_id"": ""CNT584714""}",2024-10-24 02:02:00+00
17,3,12,4,received,Singapore Logistics Hub,1.3521,103.8198,2024-11-08 09:00:00+00,c0e721ce41c32d15cda943e6e7dff6ee2eaff6be7167d62ecef7939e67aede5d,0000000000000000000000000000000000000000000000000000000000000000,0x0ed869f400723e6b8905e36f53b2733658709f004fc5654e48ee7a8a9a11e234,confirmed,unit-3-received-20241108T090000-8355,{},2024-11-08 09:04:00+00
18,3,20,7,shipped,Mumbai Inspection Center,19.076,72.8777,2024-11-23 01:00:00+00,9f491b26580c43f0681e8f5811fdbb5fa647066ec5193e0371354c084c8d2e9e,56930b5f118bfac3e718b4b601be8a37ca174272ebbe484eb1040f56258db48a,0x335ef1992edfd02a4b7e7561bb07867a98af7b7506f68bfcba9e0787d44305ee,confirmed,unit-3-shipped-20241123T010000-7655,{},2024-11-23 01:04:00+00
19,4,21,9,manufactured,Chicago Regional Warehouse,41.8781,-87.6298,2024-05-18 00:00:00+00,4f84126d99facbe87db727a1a4ad02efffdcf5bb23d7462df6355082ba12a6a5,0000000000000000000000000000000000000000000000000000000000000000,0xcb291f14c499ca69c272407b5db661e1b1e95cb5b181f421d18f5af8c03f3120,confirmed,unit-4-manufactured-20240518T000000-1916,"{""batch_no"": ""B1525"", ""line"": ""B""}",2024-05-18 00:05:00+00
20,4,13,5,inspected,Los Angeles Port Terminal,33.7406,-118.2706,2024-05-19 07:00:00+00,a366e632e14e538d48fb10bb380b98656c33d0704c2f042d2ca1fedd72d391fd,4f84126d99facbe87db727a1a4ad02efffdcf5bb23d7462df6355082ba12a6a5,0xbb14ec0620b5b65474b9f11970b05dfbcfedb3542e0cf12338752703c2cb83e4,confirmed,unit-4-inspected-20240519T070000-6155,"{""inspector_notes"": ""minor defect noted"", ""score"": 90.9}",2024-05-19 07:00:00+00
21,4,21,8,shipped,Rotterdam Distribution Hub,51.9244,4.4777,2024-05-21 02:00:00+00,eed18d8d94badf093bc72f7fe8e171ce9300b3dd7de971cc177f3cb25d1e2292,a366e632e14e538d48fb10bb380b98656c33d0704c2f042d2ca1fedd72d391fd,0x0b6a87fe9272dc0aa0fa4873e162201bcacecd12cf87364aa9a30b81a8d76a60,confirmed,unit-4-shipped-20240521T020000-3287,"{""carrier"": ""DHL"", ""container_id"": ""CNT883300""}",2024-05-21 02:01:00+00
22,4,19,7,received,New York Fulfillment Center,40.7128,-74.006,2024-05-24 21:00:00+00,ae1fa26a2284589be11c5a3d43a7420f29be9852bcfe501a0ed3ef73ae92d5cd,eed18d8d94badf093bc72f7fe8e171ce9300b3dd7de971cc177f3cb25d1e2292,0xa29abe6a8c3b58ad6e16603e497b740d868d9271d8a3403b78d0ccc23e4c0e7d,confirmed,unit-4-received-20240524T210000-6930,"{""dock"": ""D5"", ""condition"": ""good""}",2024-05-24 21:02:00+00
23,4,9,2,shipped,,,,2024-07-07 13:00:00+00,f1cd191e1b82c9c77f48f786a4f9399cfb41fe2e967d57427c0eaf34d4f984f8,a93f834617ff4cb74a614710de21300b6662e76a613821935d2bc82218912cd6,,simulated,unit-4-shipped-20240707T130000-8204,{},2024-07-07 13:00:00+00
24,4,15,5,manufactured,Rotterdam Distribution Hub,51.9244,4.4777,2024-07-26 21:00:00+00,8f79c688cfa33cb4f9fdb6842d3c6b24a9a0869ce6b888769405829b998c200c,62e7a433a79905a428277e4e63dc81da66983df3c007473c007be8049a61bc99,0x9690d6429cbedc18036f91f9d5db2344911db9a6e03b8430a021b25a0f0b09a5,confirmed,unit-4-manufactured-20240726T210000-6095,{},2024-07-26 21:01:00+00
25,4,16,1,manufactured,Mumbai Inspection Center,19.076,72.8777,2024-07-28 05:00:00+00,42e6c6b4c7fdd97dd777e9a5f09cea02491c337a13c72242d7798292460fa950,8f79c688cfa33cb4f9fdb6842d3c6b24a9a0869ce6b888769405829b998c200c,0xd3bb8343fd4d509ac5c523075b42619276804d28b2c1110073385a7ab5e31955,confirmed,unit-4-manufactured-20240728T050000-7887,{},2024-07-28 05:04:00+00
26,4,18,4,sold,Hamburg Container Yard,53.5511,9.9937,2024-10-10 09:00:00+00,62e7a433a79905a428277e4e63dc81da66983df3c007473c007be8049a61bc99,f1cd191e1b82c9c77f48f786a4f9399cfb41fe2e967d57427c0eaf34d4f984f8,0x92347e79c607691e7ece9443bf5bb56184d77717ec53b74995dbd918ca88521f,confirmed,unit-4-sold-20241010T090000-9261,{},2024-10-10 09:01:00+00
27,4,21,10,sold,Singapore Logistics Hub,1.3521,103.8198,2024-12-03 15:00:00+00,2804cfa67fffddfc879b326967fb99b3ead61c1804879a4dec2108a63ceba34e,42e6c6b4c7fdd97dd777e9a5f09cea02491c337a13c72242d7798292460fa950,0x7270a7ac9d35005c52a284cf716a87cf7ab6db5808e0f60a4923fc01d2761df8,confirmed,unit-4-sold-20241203T150000-9719,{},2024-12-03 15:05:00+00
28,4,12,9,received,Los Angeles Port Terminal,33.7406,-118.2706,2024-12-30 16:00:00+00,a93f834617ff4cb74a614710de21300b6662e76a613821935d2bc82218912cd6,0000000000000000000000000000000000000000000000000000000000000000,,pending,unit-4-received-20241230T160000-5670,{},2024-12-30 16:03:00+00
29,5,25,1,manufactured,Los Angeles Port Terminal,33.7406,-118.2706,2024-02-16 00:00:00+00,37391a2a4761584fde84a8debb5fd8bbe93efac541f6ae485c1fa86ac0a4da57,0000000000000000000000000000000000000000000000000000000000000000,0xa77baf8e4a469f0cc08f7544604b39eca6fe12886b771e925004166cbc0a3060,confirmed,unit-5-manufactured-20240216T000000-3621,"{""batch_no"": ""B7916"", ""line"": ""C""}",2024-02-16 00:00:00+00
30,5,3,7,inspected,Dallas Retail Store #12,32.7767,-96.797,2024-02-18 15:00:00+00,18f85cf48a8479a323b55f8336ce1a2fc447461dbb167571318c2b89ae9cd5fa,37391a2a4761584fde84a8debb5fd8bbe93efac541f6ae485c1fa86ac0a4da57,0x7816339be4b064a0389713aec02583a1a4ce54f497d98e7a2ada9c7849e208a2,confirmed,unit-5-inspected-20240218T150000-9669,"{""inspector_notes"": ""passed with rework"", ""score"": 97.9}",2024-02-18 15:02:00+00
31,5,1,2,shipped,Tokyo QA Lab,35.6762,139.6503,2024-02-22 00:00:00+00,4823d7f4b20ea41513af6434d525f75f25cc970d0428b3a61add36a156dc1f88,18f85cf48a8479a323b55f8336ce1a2fc447461dbb167571318c2b89ae9cd5fa,0x26178af37a0a06fffd986c91ad4240346291c9af3cdc0ad71fd8f8aac3c9a042,confirmed,unit-5-shipped-20240222T000000-5371,"{""carrier"": ""DHL"", ""container_id"": ""CNT216970""}",2024-02-22 00:01:00+00
32,5,10,7,received,Rotterdam Distribution Hub,51.9244,4.4777,2024-02-23 18:00:00+00,4f1a162ba0fb6056d787ade5e82323da382b9bc36d23ad315f441aafc7cc8bc1,4823d7f4b20ea41513af6434d525f75f25cc970d0428b3a61add36a156dc1f88,,simulated,unit-5-received-20240223T180000-1053,"{""dock"": ""D9"", ""condition"": ""good""}",2024-02-23 18:04:00+00
33,6,15,5,shipped,Sao Paulo Depot,-23.5505,-46.6333,2024-09-02 06:00:00+00,44d831574b006c7faf4dde27be6329945538c931804115d7af6311ff9d12e812,3f026d19d605e8228b738cb0fe0688a51cfdb542d6b6f77a611ffe94070dedc8,0xdee0e76397aa6f4c25054d23b0e1ecd336e11a24241bdc48a2e352ba81280527,confirmed,unit-6-shipped-20240902T060000-9824,{},2024-09-02 06:01:00+00
34,6,4,5,manufactured,Tokyo QA Lab,35.6762,139.6503,2024-09-16 00:00:00+00,db60ac227979aaa74bd5e5874c34c6013bf2ed252d6f24267751e87c6433e05b,0000000000000000000000000000000000000000000000000000000000000000,0x4384e07fde0de0ebb0ddc545c0550f4ca2cb5463fe6f9529e8f51b1ab5b49d95,confirmed,unit-6-manufactured-20240916T000000-4258,"{""batch_no"": ""B3646"", ""line"": ""C""}",2024-09-16 00:04:00+00
35,6,25,9,inspected,Shenzhen Factory Floor 2,22.5431,114.0579,2024-09-17 21:00:00+00,8d475cdff8676700a99fac297ae1928c96129de13cefacb99153e7000ed0415c,db60ac227979aaa74bd5e5874c34c6013bf2ed252d6f24267751e87c6433e05b,,pending,unit-6-inspected-20240917T210000-9005,"{""inspector_notes"": ""minor defect noted"", ""score"": 98.2}",2024-09-17 21:03:00+00
36,6,3,7,received,New York Fulfillment Center,40.7128,-74.006,2025-02-25 05:00:00+00,3f026d19d605e8228b738cb0fe0688a51cfdb542d6b6f77a611ffe94070dedc8,0000000000000000000000000000000000000000000000000000000000000000,,pending,unit-6-received-20250225T050000-6262,{},2025-02-25 05:05:00+00
37,7,2,4,manufactured,New York Fulfillment Center,40.7128,-74.006,2024-05-02 00:00:00+00,f16cc88f5720227a951a5d1f383ae87791fc1032e96ce7cf501633f63dd320a7,0000000000000000000000000000000000000000000000000000000000000000,0x574b90b62f1fe159e2304b059a72dc9375a29c0cd9783c17a31bc5251dd77734,confirmed,unit-7-manufactured-20240502T000000-2403,"{""batch_no"": ""B2133"", ""line"": ""C""}",2024-05-02 00:04:00+00
38,7,7,9,shipped,,,,2024-05-04 10:00:00+00,3a9a49cf4756919700e9657954b4f0e6a6a552927b7871b05de346eda85cfe98,539d079909e438ec03387a9f113695047bb1a920c7f6569a46b2b064ec77fe33,0xeac5783f2f1c1ab9e1515224027979f9229d6f0d666d5a711dd1db52139bf703,confirmed,unit-7-shipped-20240504T100000-6107,"{""carrier"": ""DHL"", ""container_id"": ""CNT559381""}",2024-05-04 10:02:00+00
39,7,25,3,inspected,Rotterdam Distribution Hub,51.9244,4.4777,2024-05-04 16:00:00+00,539d079909e438ec03387a9f113695047bb1a920c7f6569a46b2b064ec77fe33,f16cc88f5720227a951a5d1f383ae87791fc1032e96ce7cf501633f63dd320a7,0x160d20b442006b0d43607df6acedc41f17db720827f5eeb31aab9eab09067387,confirmed,unit-7-inspected-20240504T160000-3705,"{""inspector_notes"": ""passed with rework"", ""score"": 91.3}",2024-05-04 16:03:00+00
40,7,25,9,sold,Sao Paulo Depot,-23.5505,-46.6333,2025-03-28 16:00:00+00,9aca83fb774b839b6f3627f2d11e78f4f9dca221c243bc0db25239f2cd82b2fb,0000000000000000000000000000000000000000000000000000000000000000,,simulated,unit-7-sold-20250328T160000-6517,{},2025-03-28 16:05:00+00
41,8,15,4,shipped,Rotterdam Distribution Hub,51.9244,4.4777,2024-02-19 01:00:00+00,5bf8019e0295eaaea6cdd6523740dffcb78354dbac5faaba9a5a888cdcdbcf86,0000000000000000000000000000000000000000000000000000000000000000,,simulated,unit-8-shipped-20240219T010000-7293,{},2024-02-19 01:01:00+00
42,8,4,4,manufactured,Chicago Regional Warehouse,41.8781,-87.6298,2024-08-19 00:00:00+00,722ef7924d0a5acbf88af496518ed0075a228faf036e0d9ce8c4764305b72ece,0000000000000000000000000000000000000000000000000000000000000000,,pending,unit-8-manufactured-20240819T000000-6539,"{""batch_no"": ""B4770"", ""line"": ""C""}",2024-08-19 00:05:00+00
43,8,8,1,inspected,Los Angeles Port Terminal,33.7406,-118.2706,2024-08-19 11:00:00+00,8edf6439b388214438b527476057c51915eccc043f589f8e2143932486f8526c,722ef7924d0a5acbf88af496518ed0075a228faf036e0d9ce8c4764305b72ece,,pending,unit-8-inspected-20240819T110000-4750,"{""inspector_notes"": ""passed"", ""score"": 97.9}",2024-08-19 11:05:00+00
44,8,3,9,shipped,Chicago Regional Warehouse,41.8781,-87.6298,2024-08-22 06:00:00+00,4293d4ab9e33a92764aba972a9101572c60e6a74c635ed5db26728712e8ad742,8edf6439b388214438b527476057c51915eccc043f589f8e2143932486f8526c,0xfe068fba1cb8033dc041cea203352baa4b8c3af63b34d65962e5642dd1597ee4,confirmed,unit-8-shipped-20240822T060000-8953,"{""carrier"": ""FedEx"", ""container_id"": ""CNT858490""}",2024-08-22 06:00:00+00
45,8,19,10,received,Singapore Logistics Hub,1.3521,103.8198,2024-08-23 09:00:00+00,8a48dbb8fa49e557ddedd8f5d6693c572c27036a701367e05a216a2b06cdc736,4293d4ab9e33a92764aba972a9101572c60e6a74c635ed5db26728712e8ad742,0xdb8f7b4c674f89ef6991c5d4785541a7391b2fb6909db0e82b7011b0dca8ebdd,failed,unit-8-received-20240823T090000-8749,"{""dock"": ""D7"", ""condition"": ""good""}",2024-08-23 09:04:00+00
46,8,4,7,sold,Hamburg Container Yard,53.5511,9.9937,2024-08-28 16:00:00+00,e34bd87f79bd859b4f6f25f066b87bc4ef03ab5893b1cb8d9826eb5d6211928d,8a48dbb8fa49e557ddedd8f5d6693c572c27036a701367e05a216a2b06cdc736,0x9580542170a44eed34f9e71430a8d047f2ac409505677c8ad1e482f64bffcc4c,confirmed,unit-8-sold-20240828T160000-7735,"{""order_id"": ""ORD17100"", ""channel"": ""wholesale""}",2024-08-28 16:05:00+00
47,9,13,6,manufactured,,,,2024-02-01 00:00:00+00,c2c8fde1334b860042cdc751c1d3aa57cb3527a060653f80e52929eb95b77904,0000000000000000000000000000000000000000000000000000000000000000,0xbf9f5d967a3230c62714b891e047c991493febbd422ecd2c5750d900085b3bda,confirmed,unit-9-manufactured-20240201T000000-5073,"{""batch_no"": ""B9786"", ""line"": ""B""}",2024-02-01 00:02:00+00
48,9,17,1,received,Los Angeles Port Terminal,33.7406,-118.2706,2024-09-22 04:00:00+00,d2f43f02ed68a2845becc1995b50ab1b3cdd69aa7e28ce4886ca5d367cc96d74,0000000000000000000000000000000000000000000000000000000000000000,0x9a688dc15a5d5548dbaed30515782b4cb59ee0ed1f6812c7efec579a875eeb00,confirmed,unit-9-received-20240922T040000-3653,{},2024-09-22 04:00:00+00
49,10,6,5,manufactured,Singapore Logistics Hub,1.3521,103.8198,2024-08-04 00:00:00+00,787df3731cc463015d0fa9c95667ad3c9b91abe334809c66c241086279566a2d,0000000000000000000000000000000000000000000000000000000000000000,0xd25cb30c4b4b79b0286ec7181b73c24953bcb689e2e260e99a092071cc9dd457,confirmed,unit-10-manufactured-20240804T000000-2235,"{""batch_no"": ""B2604"", ""line"": ""A""}",2024-08-04 00:00:00+00
50,10,21,9,inspected,Shenzhen Factory Floor 2,22.5431,114.0579,2024-08-04 15:00:00+00,fde4a4099c7053b751eab921b803b438f67a24cae8eaa085bcfb631ca965f5b4,787df3731cc463015d0fa9c95667ad3c9b91abe334809c66c241086279566a2d,0xc0817f36402f1bcaa3d1e39248eff4f89cf3b19a3f841db4dfe7f094354bfec8,confirmed,unit-10-inspected-20240804T150000-4872,"{""inspector_notes"": ""minor defect noted"", ""score"": 92.2}",2024-08-04 15:03:00+00
51,11,15,9,shipped,Rotterdam Distribution Hub,51.9244,4.4777,2025-03-01 13:00:00+00,30ec6e94bd9d653b038658ff17619b253bd810804aa1273715035cf73b4f141b,0000000000000000000000000000000000000000000000000000000000000000,0xb531c901c7eba48b83819c241116506dadf2b1763dd96161635054f82edbf3e0,failed,unit-11-shipped-20250301T130000-4637,{},2025-03-01 13:01:00+00
52,11,2,3,manufactured,Dallas Retail Store #12,32.7767,-96.797,2025-04-07 00:00:00+00,f79c440ba5a33f5f6e12e01ce14cff88ebdedd74b5f3fab32e63a1de04527b7d,0000000000000000000000000000000000000000000000000000000000000000,0xa94c342fcdf9a846762872e7b595c06cc3d9781d4e3373e49bb6ce027a78a3f8,confirmed,unit-11-manufactured-20250407T000000-7396,"{""batch_no"": ""B8454"", ""line"": ""B""}",2025-04-07 00:00:00+00
53,11,14,9,inspected,Tokyo QA Lab,35.6762,139.6503,2025-04-09 18:00:00+00,a1c20ae1e5fb163997e436eba7798b668c03fd8edbe4d332aa41ddb6a38450d2,f79c440ba5a33f5f6e12e01ce14cff88ebdedd74b5f3fab32e63a1de04527b7d,0x9d7737a53559ce3b63099d30c3bf601736e5ccf33aa2aa99ef53ea6d5d0635d7,confirmed,unit-11-inspected-20250409T180000-3536,"{""inspector_notes"": ""passed"", ""score"": 99.5}",2025-04-09 18:02:00+00
54,11,19,9,shipped,Shenzhen Factory Floor 2,22.5431,114.0579,2025-04-10 16:00:00+00,d8295303930b6fed27c726301c5e4099f81950cc049bc6329273f1f542238b29,a1c20ae1e5fb163997e436eba7798b668c03fd8edbe4d332aa41ddb6a38450d2,,pending,unit-11-shipped-20250410T160000-1936,"{""carrier"": ""UPS"", ""container_id"": ""CNT627276""}",2025-04-10 16:04:00+00
55,11,17,3,received,Shenzhen Factory Floor 2,22.5431,114.0579,2025-04-15 15:00:00+00,5ac527b2bda63653eca808ae621dea6d15552fd76135b5a6642b6e85c3f01613,d8295303930b6fed27c726301c5e4099f81950cc049bc6329273f1f542238b29,,simulated,unit-11-received-20250415T150000-2312,"{""dock"": ""D3"", ""condition"": ""good""}",2025-04-15 15:04:00+00
56,12,11,8,inspected,Chicago Regional Warehouse,41.8781,-87.6298,2024-04-25 04:00:00+00,f3710e33a9674147ab2a5fb0ffb9f2f312b0079f6b2ef5e495602828df8ce168,0000000000000000000000000000000000000000000000000000000000000000,0x578f3f96939c2f243f84120642ed9db8b0463653c96e556380c335d51dbc5862,failed,unit-12-inspected-20240425T040000-5846,{},2024-04-25 04:04:00+00
57,12,2,1,shipped,Mumbai Inspection Center,19.076,72.8777,2024-10-17 19:00:00+00,36c625d31546e3342574641d950af3927316adb007f5f56a453067d08169c52a,f3710e33a9674147ab2a5fb0ffb9f2f312b0079f6b2ef5e495602828df8ce168,0xeda6db502666eec194d1fa9ed2dc2f2ffbb166d70264e1e611d16d177bbbf564,confirmed,unit-12-shipped-20241017T190000-6489,{},2024-10-17 19:03:00+00
58,12,8,7,manufactured,Los Angeles Port Terminal,33.7406,-118.2706,2024-12-11 00:00:00+00,8be045a81ab246a9a83633de777ae6172cb5a4ad0fcec38480f030c061c66c55,0000000000000000000000000000000000000000000000000000000000000000,0x5ee001b32476d04d5aa4ca5b7a0707f348eb5a52dab43fafa8e565305bbd5b86,confirmed,unit-12-manufactured-20241211T000000-1651,"{""batch_no"": ""B7868"", ""line"": ""C""}",2024-12-11 00:02:00+00
59,13,11,5,shipped,Tokyo QA Lab,35.6762,139.6503,2024-01-31 02:00:00+00,30969f554750744d609aeb5f3181c349669a0de16951e3098e187b019e79bb23,7c5de705f75ec9f152901601151c846f9e3f89634ad485061012a339c814fbcb,0xbfe3cabe34e465b06ce387cbdf3f808ea0b2616b0250f6895d8e8b8dddf56ced,confirmed,unit-13-shipped-20240131T020000-4804,{},2024-01-31 02:00:00+00
60,13,9,9,inspected,Mumbai Inspection Center,19.076,72.8777,2024-04-25 09:00:00+00,7c5de705f75ec9f152901601151c846f9e3f89634ad485061012a339c814fbcb,0000000000000000000000000000000000000000000000000000000000000000,0xbd999872d0469e1d8435da9c5e1b686f22b5325515ad1f25ec4b0cc23c0ee5c2,confirmed,unit-13-inspected-20240425T090000-4396,{},2024-04-25 09:05:00+00
61,13,17,6,manufactured,Mumbai Inspection Center,19.076,72.8777,2024-10-16 00:00:00+00,3ba7e4b63b7601913164160c2b17e93b7de043118fdea011be002592a1df2777,0000000000000000000000000000000000000000000000000000000000000000,0x48009fcc503280c332a00e0837f238b8b34ea7d761e8447d9eb8786b244ce221,confirmed,unit-13-manufactured-20241016T000000-6147,"{""batch_no"": ""B7484"", ""line"": ""A""}",2024-10-16 00:02:00+00
62,13,22,5,inspected,Singapore Logistics Hub,1.3521,103.8198,2024-10-17 20:00:00+00,a9ed0f7be4b3fd7ad5f5ffb366bf230c4bcc047e2ce5a6b289f0165e9f58e073,3ba7e4b63b7601913164160c2b17e93b7de043118fdea011be002592a1df2777,,pending,unit-13-inspected-20241017T200000-2188,"{""inspector_notes"": ""passed with rework"", ""score"": 100.0}",2024-10-17 20:03:00+00
63,13,4,2,shipped,Mexico City Assembly Plant,19.4326,-99.1332,2024-10-18 14:00:00+00,962e979fb6b6913a43f56a304330f13886a92d2fb36e020dfa87c8bd90a9f984,a9ed0f7be4b3fd7ad5f5ffb366bf230c4bcc047e2ce5a6b289f0165e9f58e073,0x1997451cde716e820c901703b5f10af951b19e65635f62b7a78421878d0960ef,confirmed,unit-13-shipped-20241018T140000-9288,"{""carrier"": ""DHL"", ""container_id"": ""CNT172132""}",2024-10-18 14:03:00+00
