id,product_unit_id,event_id,risk_score,reason,feature_values,model_version,created_at
41,231,199,94.56,Batch code does not match registered production run,"{""packaging_hash_similarity"":0.142,""gps_deviation_km"":262.03}",prov-risk-v1.2.0,2024-07-24 23:52:31+00
42,261,58,23.14,Label print date precedes factory commission date,"{""scan_velocity_kmh"":225.38,""time_since_last_event_hrs"":217.4,""packaging_hash_similarity"":0.141,""checksum_valid"":false,""temp_excursion_c"":188.05}",prov-risk-v1.0.0,2025-05-29 16:40:03+00
43,1,174,12.0,Batch code does not match registered production run,"{""custody_gap_count"":2,""packaging_hash_similarity"":0.065}",prov-risk-v2.0.0-beta,2026-07-04 06:05:52+00
44,40,220,85.43,Unit re-entered supply chain after terminal event,"{""scan_velocity_kmh"":317.48,""custody_gap_count"":1}",prov-risk-v1.1.2,2025-02-16 19:03:30+00
45,224,98,78.51,Cross-border movement without customs event,"{""reseller_risk_score"":0.549,""supplier_risk_tier"":""high""}",prov-risk-v1.0.0,2024-03-17 20:36:00+00
46,211,71,28.62,Serial number checksum mismatch,"{""time_since_last_event_hrs"":247.4,""label_print_delta_days"":-11,""reseller_risk_score"":0.256}",prov-risk-v2.1.0,2025-02-08 03:48:19+00
47,208,155,66.89,GPS location inconsistent with declared origin,"{""time_since_last_event_hrs"":360.4,""gps_deviation_km"":405.91,""checksum_valid"":true}",prov-risk-v2.0.0-beta,2025-06-01 00:57:37+00
48,231,281,9.07,Supplier flagged for prior counterfeiting incident,"{""temp_excursion_c"":184.15,""checksum_valid"":true}",prov-risk-v1.0.0,2025-10-03 05:36:56+00
49,197,269,27.02,Serial number checksum mismatch,"{""custody_gap_count"":4,""temp_excursion_c"":314.81,""time_since_last_event_hrs"":621.3,""supplier_risk_tier"":""low"",""packaging_hash_similarity"":0.093}",prov-risk-v1.1.2,2025-08-20 09:27:51+00
50,205,222,84.87,Unusual gap between manufacture and first scan event,"{""scan_velocity_kmh"":484.14,""reseller_risk_score"":0.49,""label_print_delta_days"":-26}",prov-risk-v2.0.0-beta,2026-03-31 00:05:59+00
51,240,128,22.38,Scan velocity exceeds physically plausible threshold,"{""label_print_delta_days"":5,""gps_deviation_km"":388.43}",prov-risk-v1.0.0,2024-07-14 04:38:15+00
52,120,20,30.38,Scan velocity exceeds physically plausible threshold,"{""supplier_risk_tier"":""low"",""reseller_risk_score"":0.3,""gps_deviation_km"":471.77,""scan_velocity_kmh"":95.85}",prov-risk-v1.2.0,2024-12-13 07:46:46+00
53,1,,46.07,Supplier flagged for prior counterfeiting incident,"{""label_print_delta_days"":5,""supplier_risk_tier"":""low"",""checksum_valid"":true}",prov-risk-v2.0.0-beta,2025-04-22 12:37:18+00
54,29,,67.45,Cross-border movement without customs event,"{""custody_gap_count"":5,""checksum_valid"":false}",prov-risk-v1.2.0,2024-12-18 07:11:51+00
55,253,,42.06,Certificate of authenticity signature invalid,"{""scan_velocity_kmh"":102.61,""custody_gap_count"":1,""gps_deviation_km"":155.86}",,2024-10-28 06:21:22+00
56,119,136,29.49,Model version confidence below acceptance threshold,"{""packaging_hash_similarity"":0.91,""time_since_last_event_hrs"":40.6,""checksum_valid"":true,""label_print_delta_days"":29,""reseller_risk_score"":0.393}",prov-risk-v1.1.2,2024-02-06 16:56:32+00
57,73,31,44.96,Supplier flagged for prior counterfeiting incident,"{""gps_deviation_km"":164.62,""time_since_last_event_hrs"":133.6}",prov-risk-v2.0.1,2025-12-27 09:58:54+00
58,17,194,98.5,Anomalous reseller account activity,"{""gps_deviation_km"":139.9,""scan_velocity_kmh"":175.73,""packaging_hash_similarity"":0.956}",prov-risk-v1.0.0,2026-05-21 16:24:07+00
59,107,159,43.24,Serial number checksum mismatch,"{""checksum_valid"":false,""temp_excursion_c"":368.66,""label_print_delta_days"":0,""gps_deviation_km"":15.14,""time_since_last_event_hrs"":295.8}",,2026-08-29 12:54:41+00
60,208,,6.26,Serial number checksum mismatch,"{""checksum_valid"":false,""gps_deviation_km"":167.49,""temp_excursion_c"":476.88,""time_since_last_event_hrs"":31.4}",prov-risk-v2.1.0,2025-05-06 15:21:53+00
61,142,34,,Temperature excursion detected during transit,"{""label_print_delta_days"":19,""packaging_hash_similarity"":0.387}",prov-risk-v1.2.0,2025-10-29 21:15:12+00
62,253,,0.87,Packaging hash does not match reference image,"{""packaging_hash_similarity"":0.861,""checksum_valid"":false,""temp_excursion_c"":180.93}",,2026-07-14 09:56:20+00
63,41,201,24.73,Duplicate unit ID detected across regions,"{""label_print_delta_days"":4,""supplier_risk_tier"":""medium""}",prov-risk-v1.1.2,2025-10-24 15:05:44+00
64,54,136,20.83,Cross-border movement without customs event,"{""label_print_delta_days"":-1,""time_since_last_event_hrs"":446.6,""checksum_valid"":true,""gps_deviation_km"":373.99,""packaging_hash_similarity"":0.847}",prov-risk-v2.1.0,2024-07-07 05:20:55+00
65,151,291,25.41,Unit re-entered supply chain after terminal event,"{""label_print_delta_days"":-15,""checksum_valid"":true,""time_since_last_event_hrs"":110.4}",prov-risk-v2.0.1,2024-10-19 10:28:25+00
66,168,,24.59,RFID tag read at two distant locations simultaneously,"{""gps_deviation_km"":51.17,""label_print_delta_days"":0,""scan_velocity_kmh"":441.41}",prov-risk-v1.1.2,2025-11-27 09:43:45+00
67,192,,11.92,Batch code does not match registered production run,"{""gps_deviation_km"":224.56,""temp_excursion_c"":129.97,""time_since_last_event_hrs"":560.0}",prov-risk-v1.0.0,2024-06-13 07:45:59+00
68,180,189,4.42,Unit re-entered supply chain after terminal event,"{""packaging_hash_similarity"":0.815,""checksum_valid"":false}",prov-risk-v2.0.0-beta,2025-07-31 14:03:12+00
69,95,40,79.53,Weight variance outside tolerance for declared SKU,"{""gps_deviation_km"":332.01,""reseller_risk_score"":0.155,""packaging_hash_similarity"":0.534,""supplier_risk_tier"":""high"",""checksum_valid"":true}",prov-risk-v2.0.0-beta,2025-02-25 05:50:01+00
70,210,158,5.14,Origin country mismatch with declared manufacturer,"{""reseller_risk_score"":0.767,""packaging_hash_similarity"":0.802,""scan_velocity_kmh"":322.24,""supplier_risk_tier"":""medium""}",prov-risk-v2.1.0,2025-09-21 02:30:15+00
71,105,223,42.38,Duplicate unit ID detected across regions,"{""packaging_hash_similarity"":0.13,""temp_excursion_c"":25.85,""label_print_delta_days"":-21,""reseller_risk_score"":0.641,""gps_deviation_km"":454.9}",prov-risk-v1.0.0,2026-06-08 21:56:12+00
72,190,88,28.33,RFID tag read at two distant locations simultaneously,"{""gps_deviation_km"":245.25,""packaging_hash_similarity"":0.805,""reseller_risk_score"":0.967}",prov-risk-v1.1.2,2025-04-13 13:01:59+00
73,65,23,48.27,Serial number checksum mismatch,"{""gps_deviation_km"":307.36,""time_since_last_event_hrs"":141.2,""checksum_valid"":false,""custody_gap_count"":1,""label_print_delta_days"":6}",prov-risk-v1.1.2,2024-03-05 19:09:27+00
74,205,81,12.31,Temperature excursion detected during transit,"{""scan_velocity_kmh"":333.95,""supplier_risk_tier"":""medium"",""packaging_hash_similarity"":0.118}",prov-risk-v2.0.1,2025-12-08 22:58:34+00
75,282,157,30.82,Temperature excursion detected during transit,"{""reseller_risk_score"":0.179,""temp_excursion_c"":1.75,""label_print_delta_days"":1,""custody_gap_count"":3,""checksum_valid"":true}",prov-risk-v2.0.0-beta,2026-08-18 22:09:25+00
76,235,243,6.71,QR code resolution anomaly detected,"{""temp_excursion_c"":328.55,""gps_deviation_km"":20.33,""label_print_delta_days"":-22,""custody_gap_count"":0,""reseller_risk_score"":0.922}",prov-risk-v1.2.0,2026-03-05 13:25:16+00
77,41,,37.79,Scan velocity exceeds physically plausible threshold,"{""gps_deviation_km"":96.85,""packaging_hash_similarity"":0.982}",prov-risk-v2.0.0-beta,2025-03-23 05:00:13+00
78,85,114,35.09,Unit re-entered supply chain after terminal event,"{""temp_excursion_c"":71.79,""custody_gap_count"":4,""label_print_delta_days"":28}",prov-risk-v2.0.0-beta,2024-11-19 14:51:25+00
79,135,122,3.68,Missing intermediate custody event,"{""time_since_last_event_hrs"":570.3,""custody_gap_count"":2,""temp_excursion_c"":57.54,""checksum_valid"":true,""gps_deviation_km"":318.16}",prov-risk-v1.2.0,2025-12-04 18:30:10+00
80,285,54,53.57,Certificate of authenticity signature invalid,"{""custody_gap_count"":1,""reseller_risk_score"":0.36,""temp_excursion_c"":382.32,""packaging_hash_similarity"":0.442}",prov-risk-v1.1.2,2026-08-13 22:47:32+00
81,25,265,63.92,Origin country mismatch with declared manufacturer,"{""scan_velocity_kmh"":145.49,""packaging_hash_similarity"":0.626,""checksum_valid"":false,""gps_deviation_km"":256.34}",prov-risk-v1.0.0,2024-07-24 02:11:06+00
82,251,24,,Unusual gap between manufacture and first scan event,"{""custody_gap_count"":1,""gps_deviation_km"":206.62,""temp_excursion_c"":150.58,""packaging_hash_similarity"":0.134}",prov-risk-v1.2.0,2026-08-27 05:46:47+00
83,244,8,24.36,Scan velocity exceeds physically plausible threshold,"{""gps_deviation_km"":391.08,""packaging_hash_similarity"":0.402,""time_since_last_event_hrs"":190.3,""reseller_risk_score"":0.011,""temp_excursion_c"":322.47}",prov-risk-v2.0.1,2025-06-28 05:20:59+00
84,297,266,24.85,Unusual gap between manufacture and first scan event,"{""scan_velocity_kmh"":12.61,""supplier_risk_tier"":""low""}",prov-risk-v1.1.2,2024-09-04 08:01:33+00
85,30,54,,Weight variance outside tolerance for declared SKU,"{""time_since_last_event_hrs"":373.1,""reseller_risk_score"":0.643,""checksum_valid"":false}",,2026-08-10 13:08:36+00
86,90,33,4.85,Label print date precedes factory commission date,"{""reseller_risk_score"":0.745,""packaging_hash_similarity"":0.465}",prov-risk-v2.1.0,2025-12-03 21:56:49+00
87,90,54,64.4,GPS location inconsistent with declared origin,"{""custody_gap_count"":4,""scan_velocity_kmh"":339.62,""packaging_hash_similarity"":0.686,""temp_excursion_c"":458.64}",prov-risk-v1.2.0,2025-04-04 05:24:00+00
88,112,,16.98,Temperature excursion detected during transit,"{""time_since_last_event_hrs"":633.7,""temp_excursion_c"":164.28,""checksum_valid"":true}",prov-risk-v2.0.0-beta,2026-09-06 18:03:09+00
89,275,272,85.75,Cross-border movement without customs event,"{""packaging_hash_similarity"":0.392,""custody_gap_count"":4,""checksum_valid"":true}",prov-risk-v2.0.1,2024-09-23 11:42:02+00
90,75,,62.2,Missing intermediate custody event,"{""time_since_last_event_hrs"":99.6,""scan_velocity_kmh"":321.77,""supplier_risk_tier"":""low"",""label_print_delta_days"":14}",prov-risk-v1.0.0,2024-03-13 12:41:41+00
91,34,187,95.46,Weight variance outside tolerance for declared SKU,"{""reseller_risk_score"":0.247,""gps_deviation_km"":101.58}",prov-risk-v1.0.0,2024-02-23 11:31:29+00
92,45,148,13.27,Batch code does not match registered production run,"{""temp_excursion_c"":10.46,""packaging_hash_similarity"":0.257,""reseller_risk_score"":0.283,""time_since_last_event_hrs"":515.3}",prov-risk-v1.2.0,2025-05-13 09:20:30+00
93,258,148,3.1,Cross-border movement without customs event,"{""reseller_risk_score"":0.773,""supplier_risk_tier"":""medium""}",prov-risk-v2.0.0-beta,2024-03-15 17:56:07+00
94,276,47,28.71,Cross-border movement without customs event,"{""supplier_risk_tier"":""medium"",""checksum_valid"":true}",prov-risk-v1.0.0,2025-06-24 07:03:38+00
95,252,,82.53,Label print date precedes factory commission date,"{""supplier_risk_tier"":""low"",""custody_gap_count"":5,""time_since_last_event_hrs"":166.7,""label_print_delta_days"":-20}",prov-risk-v1.0.0,2024-05-05 15:31:18+00
96,252,288,62.79,QR code resolution anomaly detected,"{""reseller_risk_score"":0.892,""packaging_hash_similarity"":0.745}",prov-risk-v2.0.0-beta,2024-02-09 02:33:21+00
97,191,135,54.49,Missing intermediate custody event,"{""checksum_valid"":true,""label_print_delta_days"":-8,""time_since_last_event_hrs"":418.7,""custody_gap_count"":4,""reseller_risk_score"":0.155}",,2025-11-30 12:38:45+00
98,284,87,68.91,Unit re-entered supply chain after terminal event,"{""time_since_last_event_hrs"":462.7,""temp_excursion_c"":348.28,""label_print_delta_days"":2}",prov-risk-v1.1.2,2025-02-19 12:28:51+00
99,155,80,97.48,Supplier flagged for prior counterfeiting incident,"{""time_since_last_event_hrs"":186.3,""checksum_valid"":true,""temp_excursion_c"":82.3,""gps_deviation_km"":328.95}",prov-risk-v1.1.2,2025-08-19 21:14:26+00
100,78,155,43.49,Batch code does not match registered production run,"{""gps_deviation_km"":103.22,""custody_gap_count"":3}",prov-risk-v2.0.0-beta,2024-02-22 17:03:43+00
101,7,224,50.05,Packaging hash does not match reference image,"{""scan_velocity_kmh"":202.36,""time_since_last_event_hrs"":533.5,""custody_gap_count"":6,""label_print_delta_days"":-3,""temp_excursion_c"":350.58}",prov-risk-v2.0.1,2025-10-16 05:47:20+00
102,118,299,67.96,GPS location inconsistent with declared origin,"{""reseller_risk_score"":0.098,""temp_excursion_c"":209.79,""custody_gap_count"":6,""supplier_risk_tier"":""medium"",""packaging_hash_similarity"":0.713}",prov-risk-v2.1.0,2024-08-31 01:11:30+00
103,129,248,62.16,Cross-border movement without customs event,"{""temp_excursion_c"":415.94,""scan_velocity_kmh"":454.1,""reseller_risk_score"":0.106}",prov-risk-v1.2.0,2026-04-24 01:55:33+00
104,112,103,10.11,Origin country mismatch with declared manufacturer,"{""supplier_risk_tier"":""high"",""checksum_valid"":false,""label_print_delta_days"":3,""custody_gap_count"":2,""scan_velocity_kmh"":205.17}",prov-risk-v2.0.0-beta,2024-11-22 08:42:03+00
105,95,63,61.4,Serial number checksum mismatch,"{""custody_gap_count"":0,""reseller_risk_score"":0.075,""supplier_risk_tier"":""medium"",""scan_velocity_kmh"":314.28}",prov-risk-v2.1.0,2025-07-01 00:10:17+00
106,298,115,40.05,RFID tag read at two distant locations simultaneously,"{""reseller_risk_score"":0.165,""label_print_delta_days"":29,""checksum_valid"":true}",,2024-10-27 01:58:30+00
107,241,116,14.63,Cross-border movement without customs event,"{""custody_gap_count"":2,""supplier_risk_tier"":""low"",""time_since_last_event_hrs"":192.5,""reseller_risk_score"":0.376,""checksum_valid"":false}",prov-risk-v2.0.0-beta,2024-10-15 18:28:16+00
108,247,,28.12,Temperature excursion detected during transit,"{""temp_excursion_c"":311.68,""label_print_delta_days"":-25,""supplier_risk_tier"":""high"",""checksum_valid"":false}",prov-risk-v1.1.2,2025-04-15 22:56:51+00
109,198,,90.58,Scan velocity exceeds physically plausible threshold,"{""packaging_hash_similarity"":0.952,""scan_velocity_kmh"":327.98,""supplier_risk_tier"":""medium"",""gps_deviation_km"":304.1}",prov-risk-v2.0.1,2024-08-09 17:27:18+00
110,120,232,15.27,Certificate of authenticity signature invalid,"{""packaging_hash_similarity"":0.197,""gps_deviation_km"":346.4,""custody_gap_count"":4}",prov-risk-v1.0.0,2025-11-12 07:40:38+00
111,60,136,82.71,Label print date precedes factory commission date,"{""supplier_risk_tier"":""high"",""scan_velocity_kmh"":245.69,""label_print_delta_days"":1,""checksum_valid"":true,""gps_deviation_km"":269.77}",,2024-01-11 06:19:07+00
112,83,240,49.76,Packaging hash does not match reference image,"{""temp_excursion_c"":90.26,""reseller_risk_score"":0.36,""supplier_risk_tier"":""high"",""packaging_hash_similarity"":0.029,""scan_velocity_kmh"":304.84}",prov-risk-v2.1.0,2025-05-28 08:17:04+00
113,49,249,14.45,Batch code does not match registered production run,"{""time_since_last_event_hrs"":263.6,""temp_excursion_c"":237.27,""gps_deviation_km"":262.77,""reseller_risk_score"":0.771,""supplier_risk_tier"":""low""}",prov-risk-v1.2.0,2025-11-07 01:02:30+00
114,176,284,28.91,QR code resolution anomaly detected,"{""reseller_risk_score"":0.345,""temp_excursion_c"":101.77,""custody_gap_count"":3,""packaging_hash_similarity"":0.792,""label_print_delta_days"":-9}",prov-risk-v1.1.2,2025-05-07 14:07:15+00
115,154,,8.76,Serial number checksum mismatch,"{""supplier_risk_tier"":""low"",""reseller_risk_score"":0.006,""scan_velocity_kmh"":94.97,""checksum_valid"":false,""time_since_last_event_hrs"":438.3}",prov-risk-v2.1.0,2024-04-03 10:30:31+00
116,257,193,62.68,Model version confidence below acceptance threshold,"{""checksum_valid"":false,""scan_velocity_kmh"":312.64}",prov-risk-v1.1.2,2024-06-06 11:02:07+00
117,93,216,91.41,Unusual gap between manufacture and first scan event,"{""time_since_last_event_hrs"":217.5,""custody_gap_count"":3,""supplier_risk_tier"":""low"",""reseller_risk_score"":0.318}",prov-risk-v2.0.0-beta,2026-05-29 18:24:43+00
118,297,28,52.22,GPS location inconsistent with declared origin,"{""packaging_hash_similarity"":0.68,""reseller_risk_score"":0.594,""label_print_delta_days"":30,""scan_velocity_kmh"":329.7,""supplier_risk_tier"":""low""}",prov-risk-v2.0.0-beta,2025-10-02 16:01:25+00
119,281,,21.23,Scan velocity exceeds physically plausible threshold,"{""reseller_risk_score"":0.009,""scan_velocity_kmh"":334.68}",,2024-05-16 22:04:15+00
120,112,67,27.54,Origin country mismatch with declared manufacturer,"{""label_print_delta_days"":-7,""time_since_last_event_hrs"":557.3,""scan_velocity_kmh"":356.78}",,2024-08-12 22:31:07+00
121,44,286,46.06,Unit re-entered supply chain after terminal event,"{""scan_velocity_kmh"":30.28,""packaging_hash_similarity"":0.883}",prov-risk-v2.1.0,2026-08-18 09:03:05+00
122,41,160,16.6,Label print date precedes factory commission date,"{""temp_excursion_c"":474.38,""packaging_hash_similarity"":0.728}",prov-risk-v2.0.0-beta,2024-09-15 14:27:40+00
123,75,60,64.49,Cross-border movement without customs event,"{""reseller_risk_score"":0.334,""label_print_delta_days"":-13,""custody_gap_count"":0,""packaging_hash_similarity"":0.622,""supplier_risk_tier"":""high""}",prov-risk-v2.1.0,2026-07-20 21:59:59+00
124,171,8,60.11,Packaging hash does not match reference image,"{""checksum_valid"":true,""reseller_risk_score"":0.807,""supplier_risk_tier"":""medium"",""temp_excursion_c"":344.28,""packaging_hash_similarity"":0.322}",prov-risk-v1.2.0,2025-10-18 07:56:32+00
125,81,22,14.07,Origin country mismatch with declared manufacturer,"{""custody_gap_count"":2,""supplier_risk_tier"":""high"",""label_print_delta_days"":-25}",prov-risk-v2.0.1,2026-05-10 02:28:34+00
126,249,103,72.22,Temperature excursion detected during transit,"{""packaging_hash_similarity"":0.708,""scan_velocity_kmh"":463.0,""reseller_risk_score"":0.586,""checksum_valid"":true}",,2025-08-21 00:52:25+00
127,236,275,77.22,Temperature excursion detected during transit,"{""packaging_hash_similarity"":0.321,""supplier_risk_tier"":""high"",""custody_gap_count"":4,""reseller_risk_score"":0.202,""label_print_delta_days"":-17}",prov-risk-v1.1.2,2024-05-23 05:01:50+00
128,93,149,56.44,Certificate of authenticity signature invalid,"{""checksum_valid"":false,""scan_velocity_kmh"":433.19,""label_print_delta_days"":-7}",prov-risk-v2.1.0,2025-12-20 22:03:59+00
129,42,16,51.95,Unusual gap between manufacture and first scan event,"{""scan_velocity_kmh"":495.2,""checksum_valid"":false}",prov-risk-v2.0.1,2026-05-31 02:09:01+00
130,110,144,94.65,Origin country mismatch with declared manufacturer,"{""custody_gap_count"":1,""scan_velocity_kmh"":497.31,""temp_excursion_c"":189.1}",prov-risk-v1.0.0,2024-03-20 05:19:29+00
